t,zeta,ground_truth_dim0,ltc_pred_dim0,ground_truth_dim1,ltc_pred_dim1
0.10050251,zeta0p8,0.9952137,0.0,0.00021590399,0.0
0.30150753,zeta0p8,-0.092682004,0.042456903,9.49253e-05,0.0012163107
0.5025126,zeta0p8,0.96133715,0.11361002,0.0002281945,-0.008808908
0.7035176,zeta0p8,-0.23559836,0.14368668,3.0410038e-05,-0.004385679
0.9045226,zeta0p8,0.9036746,0.20419201,0.00022924726,-0.012584008
1.1055276,zeta0p8,-0.3310976,0.20437843,-1.7408618e-05,-0.0025443118
1.3065326,zeta0p8,0.8307531,0.23646092,0.00022211648,-0.00749845
1.5075377,zeta0p8,-0.38893184,0.2148025,-5.1477717e-05,0.002582407
1.7085427,zeta0p8,0.7492802,0.22777683,0.0002092987,-0.0024837172
1.9095477,zeta0p8,-0.41746816,0.19133413,-7.4403906e-05,0.0065148734
2.1105528,zeta0p8,0.66441303,0.19090416,0.00019279873,0.0009621633
2.3115578,zeta0p8,-0.42378137,0.14775097,-8.8463625e-05,0.008456737
2.5125628,zeta0p8,0.58000755,0.14033492,0.0001741982,0.002488336
2.7135677,zeta0p8,-0.41376588,0.09727126,-9.561014e-05,0.008508403
2.914573,zeta0p8,0.498843,0.08822025,0.00015471401,0.0024253684
3.115578,zeta0p8,-0.3922572,0.04979765,-9.749912e-05,0.0072289463
3.316583,zeta0p8,0.42282304,0.04261932,0.00013526184,0.0013896534
3.517588,zeta0p8,-0.36315683,0.011171926,-9.5511365e-05,0.0052978233
3.718593,zeta0p8,0.35315046,0.007560052,0.00011650082,5.863607e-06
3.919598,zeta0p8,-0.32955465,-0.016308708,-9.0781265e-05,0.0033025742
4.120603,zeta0p8,0.29047865,-0.01605431,9.8888675e-05,-0.0012464235
4.321608,zeta0p8,-0.29384583,-0.032892972,-8.422641e-05,0.001641511
4.522613,zeta0p8,0.23504041,-0.029356444,8.27144e-05,-0.0020854697
4.723618,zeta0p8,-0.2578393,-0.040349815,-7.65736e-05,0.00050998083
4.924623,zeta0p8,0.1867552,-0.034545317,6.814041e-05,-0.002413972
5.125628,zeta0p8,-0.22285664,-0.041109905,-6.838899e-05,-6.4519234e-05
5.326633,zeta0p8,0.14531858,-0.034138322,5.5228265e-05,-0.0022719637
5.527638,zeta0p8,-0.18982106,-0.037639614,-6.0100287e-05,-0.000166954
5.7286434,zeta0p8,0.11027386,-0.03046578,4.3964992e-05,-0.0017801563
5.9296484,zeta0p8,-0.15933454,-0.03205061,-5.202143e-05,6.130093e-05
6.1306534,zeta0p8,0.08106993,-0.025389053,3.428618e-05,-0.001088962
6.3316584,zeta0p8,-0.13174586,-0.025915042,-4.4373613e-05,0.00046806468
6.5326633,zeta0p8,0.057105985,-0.02020083,2.608779e-05,-0.00034081173
6.7336683,zeta0p8,-0.107207984,-0.02023727,-3.730043e-05,0.0009209725
6.9346733,zeta0p8,0.037766166,-0.015654702,1.924632e-05,0.0003523387
7.1356783,zeta0p8,-0.08572685,-0.015527711,-3.0888623e-05,0.0013232862
7.3366833,zeta0p8,0.022444712,-0.012070147,1.3623609e-05,0.0009179225
7.5376883,zeta0p8,-0.06720152,-0.011927557,-2.517643e-05,0.0016176403
7.738693,zeta0p8,0.010564055,-0.0094664665,9.077702e-06,0.0013216049
7.9396987,zeta0p8,-0.051456925,-0.009343868,-2.0167923e-05,0.001781628
8.140703,zeta0p8,0.0015870412,-0.0076917103,5.469996e-06,0.0015600366
8.341708,zeta0p8,-0.038270533,-0.007568098,-1.5842996e-05,0.0018190956
8.542713,zeta0p8,-0.0049757906,-0.006526583,2.665776e-06,0.0016510554
8.743718,zeta0p8,-0.027392818,-0.006364247,-1.2161485e-05,0.0017502835
8.944724,zeta0p8,-0.009562384,-0.0057554194,5.4082864e-07,0.0016239946
9.145729,zeta0p8,-0.018563433,-0.005523776,-9.073609e-06,0.0016029393
9.346734,zeta0p8,-0.012558312,-0.005205397,-1.017911e-06,0.0015116854
9.547739,zeta0p8,-0.0115230745,-0.004891442,-6.52309e-06,0.0014055526
9.748744,zeta0p8,-0.014297882,-0.0047604037,-2.1131837e-06,0.0013448591
9.949749,zeta0p8,-0.006022137,-0.0043696947,-4.448909e-06,0.001183026
10.150754,zeta0p8,-0.015066701,-0.004357816,-2.834641e-06,0.0011489608
10.351759,zeta0p8,-0.0018267022,-0.003910092,-2.7918106e-06,0.0009545687
10.552764,zeta0p8,-0.015105277,-0.003976159,-3.2597807e-06,0.0009429646
10.753769,zeta0p8,0.00127782,-0.0034988234,-1.4948902e-06,0.00073329045
10.954774,zeta0p8,-0.01461311,-0.003619869,-3.4557825e-06,0.0007395999
11.155779,zeta0p8,0.0034845439,-0.0031417229,-5.029237e-07,0.00052688696
11.356784,zeta0p8,-0.013753107,-0.0033053476,-3.4791165e-06,0.0005463922
11.557789,zeta0p8,0.004964395,-0.0028517738,2.3394715e-07,0.0003388679
11.758794,zeta0p8,-0.012656046,-0.003050444,-3.3761582e-06,0.0003670252
11.959799,zeta0p8,0.005866314,-0.002640571,7.59747e-07,0.0001699094
12.160804,zeta0p8,-0.0114249,-0.0028680225,-3.185212e-06,0.00020267349
12.361809,zeta0p8,0.0063181873,-0.0025137018,1.1145789e-06,1.9054045e-05
12.562814,zeta0p8,-0.010138935,-0.0027631768,-2.9370271e-06,5.310527e-05
12.763819,zeta0p8,0.0064282287,-0.0024693836,1.333728e-06,-0.00011537285
12.964824,zeta0p8,-0.008857509,-0.002733218,-2.6560756e-06,-8.2530685e-05
13.165829,zeta0p8,0.0062866574,-0.0024993217,1.4469566e-06,-0.00023516983
13.366835,zeta0p8,-0.007623499,-0.002769292,-2.3610014e-06,-0.0002052197
13.56784,zeta0p8,0.0059675453,-0.0026633358,1.4789638e-06,-0.0003164863
13.768845,zeta0p8,-0.0064663566,-0.003006604,-2.0658647e-06,-0.0002762016
13.96985,zeta0p8,0.0055307094,-0.0029310768,1.4511628e-06,-0.00038402373
14.170855,zeta0p8,-0.0054047857,-0.0032394987,-1.7805247e-06,-0.0003569234
14.37186,zeta0p8,0.0050235665,-0.0031756088,1.3810546e-06,-0.00045715919
14.572865,zeta0p8,-0.004449057,-0.003438155,-1.5122461e-06,-0.00043914994
14.7738695,zeta0p8,0.0044829147,-0.003330602,1.2828069e-06,-0.0005456526
14.9748745,zeta0p8,-0.0036029753,-0.0034975545,-1.2657929e-06,-0.0005428895
15.1758795,zeta0p8,0.00393659,-0.0034061298,1.167378e-06,-0.0006292769
15.376884,zeta0p8,-0.0028655124,-0.003550354,-1.0437789e-06,-0.0006243064
15.577889,zeta0p8,0.0034049593,-0.0034841814,1.0435471e-06,-0.0006939497
15.778894,zeta0p8,-0.0022321937,-0.0036161523,-8.467467e-07,-0.0006884795
15.979899,zeta0p8,0.0029022896,-0.003578365,9.1775445e-07,-0.00074456376
16.180904,zeta0p8,-0.0016961886,-0.0037032492,-6.7451725e-07,-0.00073989085
16.38191,zeta0p8,0.0024379282,-0.0036922512,7.948719e-07,-0.00078513514
16.582914,zeta0p8,-0.0012491859,-0.003811271,-5.2639115e-07,-0.0007820444
16.78392,zeta0p8,0.0020173255,-0.0038224608,6.784295e-07,-0.0008186191
16.984924,zeta0p8,-0.0008821024,-0.003934498,-4.0113008e-07,-0.00081742223
17.18593,zeta0p8,0.0016429309,-0.00396191,5.7077426e-07,-0.00084698235
17.386934,zeta0p8,-0.00058559957,-0.004064889,-2.9661433e-07,-0.00084762403
17.58794,zeta0p8,0.0013149296,-0.0041024983,4.7315143e-07,-0.00087140803
