epoch,zeta,train_loss,test_loss
1,zeta0p3,0.05077564716339111,0.04815423861145973
2,zeta0p3,0.05061287805438042,0.048004087060689926
3,zeta0p3,0.05046270787715912,0.047866493463516235
4,zeta0p3,0.05032511055469513,0.04774108901619911
5,zeta0p3,0.050199735909700394,0.04762743040919304
6,zeta0p3,0.050086092203855515,0.047525253146886826
7,zeta0p3,0.0499839223921299,0.047434549778699875
8,zeta0p3,0.049893204122781754,0.04735521227121353
9,zeta0p3,0.04981379583477974,0.047286733984947205
10,zeta0p3,0.04974520206451416,0.047228023409843445
11,zeta0p3,0.049686312675476074,0.047177523374557495
12,zeta0p3,0.04963558167219162,0.04713348299264908
13,zeta0p3,0.04959122836589813,0.04709409177303314
14,zeta0p3,0.049551431089639664,0.04705759510397911
15,zeta0p3,0.049514442682266235,0.047022417187690735
16,zeta0p3,0.04947865381836891,0.04698723182082176
17,zeta0p3,0.04944274574518204,0.04695099964737892
18,zeta0p3,0.04940565675497055,0.04691305756568909
19,zeta0p3,0.04936671629548073,0.04687308147549629
20,zeta0p3,0.0493256151676178,0.046831097453832626
21,zeta0p3,0.049282364547252655,0.04678739607334137
22,zeta0p3,0.04923726245760918,0.04674241691827774
23,zeta0p3,0.04919074475765228,0.04669664800167084
24,zeta0p3,0.049143318086862564,0.046650540083646774
25,zeta0p3,0.04909544810652733,0.0466044582426548
26,zeta0p3,0.049047503620386124,0.0465586856007576
27,zeta0p3,0.04899978265166283,0.046513427048921585
28,zeta0p3,0.048952504992485046,0.046468816697597504
29,zeta0p3,0.04890580475330353,0.04642486944794655
30,zeta0p3,0.04885973781347275,0.046381574124097824
31,zeta0p3,0.048814281821250916,0.046338777989149094
32,zeta0p3,0.04876932501792908,0.04629632458090782
33,zeta0p3,0.0487246997654438,0.0462539941072464
34,zeta0p3,0.04868020489811897,0.0462116040289402
35,zeta0p3,0.04863566905260086,0.046168986707925797
36,zeta0p3,0.04859091341495514,0.04612597078084946
37,zeta0p3,0.048545803874731064,0.046082429587841034
38,zeta0p3,0.04850020259618759,0.04603825882077217
39,zeta0p3,0.048454008996486664,0.045993391424417496
40,zeta0p3,0.04840714484453201,0.04594774171710014
41,zeta0p3,0.048359550535678864,0.045901332050561905
42,zeta0p3,0.048311203718185425,0.04585414379835129
43,zeta0p3,0.04826211929321289,0.04580618068575859
44,zeta0p3,0.04821227863430977,0.045757461339235306
45,zeta0p3,0.04816170781850815,0.04570797458291054
46,zeta0p3,0.04811037704348564,0.04565770924091339
47,zeta0p3,0.04805827513337135,0.045606642961502075
48,zeta0p3,0.048005372285842896,0.04555470496416092
49,zeta0p3,0.0479515977203846,0.04550185799598694
50,zeta0p3,0.04789689555764198,0.04544799402356148
51,zeta0p3,0.04784116894006729,0.04539300501346588
52,zeta0p3,0.04778430610895157,0.0453367680311203
53,zeta0p3,0.04772616922855377,0.04527915641665459
54,zeta0p3,0.04766663536429405,0.0452200323343277
55,zeta0p3,0.04760555177927017,0.0451592393219471
56,zeta0p3,0.04754280671477318,0.045096658170223236
57,zeta0p3,0.04747822880744934,0.045032139867544174
58,zeta0p3,0.04741169512271881,0.04496552422642708
59,zeta0p3,0.047343071550130844,0.04489670693874359
60,zeta0p3,0.047272223979234695,0.04482552036643028
61,zeta0p3,0.047199029475450516,0.044751863926649094
62,zeta0p3,0.047123342752456665,0.04467557743191719
63,zeta0p3,0.047045059502124786,0.044596537947654724
64,zeta0p3,0.046964045614004135,0.044514600187540054
65,zeta0p3,0.04688015952706337,0.044429630041122437
66,zeta0p3,0.046793289482593536,0.04434146732091904
67,zeta0p3,0.0467032864689827,0.044249989092350006
68,zeta0p3,0.046610027551651,0.04415503144264221
69,zeta0p3,0.04651336371898651,0.04405646771192551
70,zeta0p3,0.04641316831111908,0.04395417869091034
71,zeta0p3,0.04630932956933975,0.04384802654385567
72,zeta0p3,0.046201735734939575,0.04373793303966522
73,zeta0p3,0.04609028995037079,0.043623827397823334
74,zeta0p3,0.045974936336278915,0.04350569099187851
75,zeta0p3,0.04585565626621246,0.04338352382183075
76,zeta0p3,0.04573244974017143,0.04325738549232483
77,zeta0p3,0.045605387538671494,0.043127406388521194
78,zeta0p3,0.04547460004687309,0.04299377277493477
79,zeta0p3,0.04534028097987175,0.04285672307014465
80,zeta0p3,0.04520266503095627,0.042716577649116516
81,zeta0p3,0.045062098652124405,0.0425737202167511
82,zeta0p3,0.044918958097696304,0.04242859035730362
83,zeta0p3,0.04477371647953987,0.042281731963157654
84,zeta0p3,0.04462691769003868,0.04213371127843857
85,zeta0p3,0.04447918012738228,0.041985198855400085
86,zeta0p3,0.044331144541502,0.04183688759803772
87,zeta0p3,0.044183578342199326,0.041689544916152954
88,zeta0p3,0.044037241488695145,0.04154397174715996
89,zeta0p3,0.04389296844601631,0.04140094667673111
90,zeta0p3,0.04375157505273819,0.0412612184882164
91,zeta0p3,0.043613824993371964,0.04112543910741806
92,zeta0p3,0.043480414897203445,0.04099416360259056
93,zeta0p3,0.0433519072830677,0.040867794305086136
94,zeta0p3,0.043228741735219955,0.04074664041399956
95,zeta0p3,0.043111227452754974,0.04063088446855545
96,zeta0p3,0.042999543249607086,0.04052060469985008
97,zeta0p3,0.04289375618100166,0.040415797382593155
98,zeta0p3,0.042793821543455124,0.040316395461559296
99,zeta0p3,0.04269960895180702,0.04022228345274925
100,zeta0p3,0.042610958218574524,0.040133360773324966
101,zeta0p3,0.04252772778272629,0.040049538016319275
102,zeta0p3,0.04244976118206978,0.03997080400586128
