t,zeta,ground_truth_dim0,ltc_pred_dim0,ground_truth_dim1,ltc_pred_dim1
0.10050251,zeta0p5,0.9951188,0.0,-0.002897488,0.0
0.30150753,zeta0p5,-0.09545632,0.033381242,-0.004274028,0.005623275
0.5025126,zeta0p5,0.95909506,0.09238821,-0.003615908,-0.004060671
0.7035176,zeta0p5,-0.25637776,0.10847198,-0.0028963536,0.0019525806
0.9045226,zeta0p5,0.8946448,0.15512183,-0.0040716054,-0.008211888
1.1055276,zeta0p5,-0.37864453,0.1433482,-0.0016638936,0.0027345596
1.3065326,zeta0p5,0.8092952,0.16551344,-0.004295799,-0.0050465562
1.5075377,zeta0p5,-0.4648352,0.13692841,-0.00059515965,0.0053864797
1.7085427,zeta0p5,0.7099653,0.14423934,-0.004322466,-0.002761017
1.9095477,zeta0p5,-0.51837486,0.10465875,0.00030068433,0.006644989
2.1105528,zeta0p5,0.6028242,0.10112602,-0.0041865995,-0.0016179285
2.3115578,zeta0p5,-0.54325587,0.056285992,0.001022432,0.006583298
2.5125628,zeta0p5,0.49320254,0.04615676,-0.0039227535,-0.0014287219
2.7135677,zeta0p5,-0.54378915,0.0010363646,0.0015754573,0.005578468
2.914573,zeta0p5,0.3855509,-0.011814635,-0.0035638558,-0.0018154825
3.115578,zeta0p5,-0.52438885,-0.053348888,0.0019703114,0.0040955134
3.316583,zeta0p5,0.28343746,-0.065828905,-0.0031403077,-0.0023811557
3.517588,zeta0p5,-0.48939234,-0.10111305,0.0022213925,0.0025553345
3.718593,zeta0p5,0.18957871,-0.11108487,-0.002679332,-0.0028058807
3.919598,zeta0p5,-0.4429162,-0.13858269,0.0023457212,0.0012673088
4.120603,zeta0p5,0.10589534,-0.14484827,-0.0022045565,-0.0028883615
4.321608,zeta0p5,-0.38874614,-0.1639942,0.0023618424,0.0004083719
4.522613,zeta0p5,0.033587143,-0.16616043,-0.0017358151,-0.0025496501
4.723618,zeta0p5,-0.3302592,-0.17716789,0.0022888717,3.259885e-05
4.924623,zeta0p5,-0.02677958,-0.17545576,-0.001289109,-0.001813672
5.125628,zeta0p5,-0.27037486,-0.17911324,0.0021456948,9.801856e-05
5.326633,zeta0p5,-0.07517716,-0.17415394,-0.00087671954,-0.00077643996
5.527638,zeta0p5,-0.21153219,-0.17162341,0.0019503179,0.0005001715
