t,zeta,ground_truth_dim0,ltc_pred_dim0,ground_truth_dim1,ltc_pred_dim1
0.10050251,zeta0p3,0.9950538,0.0,-0.04982981,0.0
0.30150753,zeta0p3,-0.09736817,0.014861085,0.012748028,0.0075541716
0.5025126,zeta0p3,0.9574875,0.061407313,-0.046467964,-0.019152384
0.7035176,zeta0p3,-0.27165067,0.062935516,0.020434974,-0.00716924
0.9045226,zeta0p3,0.8878681,0.10073806,-0.041725364,-0.032380927
1.1055276,zeta0p3,-0.41582748,0.07737,0.026473405,-0.0057085752
1.3065326,zeta0p3,0.7924784,0.09375921,-0.035938784,-0.022439899
1.5075377,zeta0p3,-0.5278498,0.05711563,0.030821549,0.0056239404
1.7085427,zeta0p3,0.6778646,0.06159127,-0.029446362,-0.01024819
1.9095477,zeta0p3,-0.60712147,0.016387947,0.033506494,0.016808024
2.1105528,zeta0p3,0.55055857,0.011727887,-0.022574529,0.0013658423
2.3115578,zeta0p3,-0.6543564,-0.037514426,0.034615364,0.025825918
2.5125628,zeta0p3,0.4168315,-0.048364848,-0.015627136,0.010844247
2.7135677,zeta0p3,-0.6714026,-0.09760316,0.03428516,0.031742252
2.914573,zeta0p3,0.28248563,-0.11176931,-0.008876246,0.017532421
3.115578,zeta0p3,-0.66104317,-0.15757036,0.03269191,0.034382273
3.316583,zeta0p3,0.15268788,-0.17245321,-0.0025556441,0.021396644
3.517588,zeta0p3,-0.6267849,-0.21203546,0.030039538,0.034077004
3.718593,zeta0p3,0.03184493,-0.22546071,0.003143768,0.02279902
3.919598,zeta0p3,-0.5726426,-0.25670663,0.026549017,0.031454712
4.120603,zeta0p3,-0.0764766,-0.267016,0.008076409,0.022314845
4.321608,zeta0p3,-0.50292915,-0.28849012,0.022447957,0.027270725
4.522613,zeta0p3,-0.16959028,-0.2945847,0.012142267,0.020587198
4.723618,zeta0p3,-0.42205805,-0.30556273,0.017961293,0.022275422
4.924623,zeta0p3,-0.24569157,-0.30690628,0.015285581,0.01821942
5.125628,zeta0p3,-0.33436495,-0.30739206,0.01330304,0.01712196
5.326633,zeta0p3,-0.30382672,-0.3039765,0.017491922,0.015705736
5.527638,zeta0p3,-0.24395123,-0.2946739,0.008669409,0.012313081
5.7286434,zeta0p3,-0.34383166,-0.28694603,0.018784063,0.013397416
5.9296484,zeta0p3,-0.15455574,-0.26916197,0.0042333505,0.00818219
6.1306534,zeta0p3,-0.36624864,-0.25791553,0.019216847,0.011498308
6.3316584,zeta0p3,-0.069454074,-0.23339614,0.00014070568,0.0049009533
6.5326633,zeta0p3,-0.37222552,-0.21964118,0.018871492,0.010081546
6.7336683,zeta0p3,0.008613488,-0.19036897,-0.0034923144,0.002504541
