zeta1,zeta2,ltc_post_mse,ltc_mdl_post_mse,improvement
0.1,1.2,0.092768215,0.03785475,59.194267
1.2,0.1,0.08857071,0.040849596,53.879112
0.3,0.8,0.018594747,0.030711181,-65.16052
0.8,0.3,0.02486186,0.00028361456,98.85924
